idx,datetime,Walferdange_EFAS_ECMWF,Steinsel_EFAS_ECMWF,Pfaffenthal_EFAS_ECMWF,Livange_EFAS_ECMWF,Hesperange_EFAS_ECMWF,Walferdange_EFAS_DWD,Steinsel_EFAS_DWD,Pfaffenthal_EFAS_DWD,Livange_EFAS_DWD,Hesperange_EFAS_DWD
0,2021-07-13 18:00:00,27.874,27.874,27.7485,17.0161,18.8428,39.8594,39.8594,42.0801,30.9707,29.0669
1,2021-07-14 00:00:00,29.3887,29.3887,28.1895,15.8701,19.1528,60.5884,60.5884,59.4561,36.9756,43.1641
2,2021-07-14 06:00:00,6.1304,6.1304,5.7837,3.1211,3.8779,19.4111,19.4111,17.5938,7.353,9.9438
3,2021-07-14 12:00:00,6.3047,6.3047,6.0967,3.77,3.8647,16.3877,16.3877,15.1821,6.8643,8.52
4,2021-07-14 18:00:00,48.5015,48.5015,54.7354,41.5425,36.5498,49.7593,49.7593,52.1196,34.5137,31.1289
5,2021-07-15 00:00:00,185.4854,185.4854,192.1787,122.3398,132.3311,149.1602,149.1602,153.0181,102.3745,98.7793
6,2021-07-15 06:00:00,197.7939,197.7939,186.5186,95.3145,123.8945,143.7598,143.7598,138.127,77.8584,90.3491
7,2021-07-15 12:00:00,142.1133,142.1133,129.6299,61.2637,83.2402,113.2979,113.2979,103.3691,51.0566,64.7998
8,2021-07-15 18:00:00,101.4736,101.4736,93.1367,44.7686,59.5771,78.9404,78.9404,71.2607,34.2549,43.9082
9,2021-07-16 00:00:00,76.4873,76.4873,69.8857,33.2305,44.6465,54.6641,54.6641,49.1719,24.3213,30.2012
10,2021-07-16 06:00:00,63.9707,63.9707,57.8662,25.2969,34.4619,40.6396,40.6396,37.2529,19.2246,23.6494
11,2021-07-16 12:00:00,48.0469,48.0469,44.0,20.1543,27.0693,32.8164,32.8164,29.9873,15.3184,18.9033
12,2021-07-16 18:00:00,38.915,38.915,35.5098,16.3799,21.8711,26.54,26.54,24.2568,12.5752,15.3242
13,2021-07-17 00:00:00,31.7012,31.7012,28.9541,13.625,17.9307,22.0312,22.0312,20.2188,10.6436,12.8623
14,2021-07-17 06:00:00,31.4707,31.4707,29.0898,15.0781,18.6523,31.4287,31.4287,29.0479,15.0557,18.6162
15,2021-07-17 12:00:00,26.751,26.751,24.8057,13.0488,15.9932,26.7109,26.7109,24.7656,13.0273,15.959
16,2021-07-17 18:00:00,23.3203,23.3203,21.6846,11.5088,14.041,23.2812,23.2812,21.6465,11.4863,14.0078
