Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.0967,0.5700,13.6771,1.3750,6.0132,1.2880,0.1620,0.4270,10.4660,0.7800
2021-07-14 06:00:00,4.3451,0.3740,7.9789,0.8710,6.9785,1.3580,0.0100,0.2460,7.5780,0.5980
2021-07-14 12:00:00,7.3744,0.5830,13.6793,1.2760,6.9438,1.4230,0.1241,0.3250,4.7854,0.2390
2021-07-14 18:00:00,36.9052,2.2750,53.3007,3.1690,44.1364,3.5800,8.2931,1.9140,30.2124,1.9040
2021-07-15 00:00:00,63.4288,2.7820,91.7972,3.5750,71.4193,4.5900,24.5192,2.3160,47.9480,2.5820
2021-07-15 06:00:00,57.3132,2.6740,84.4197,3.5170,63.1166,4.2800,39.0098,2.5080,60.7647,2.9960
2021-07-15 12:00:00,51.2012,2.5540,73.2493,3.4210,67.6554,4.3570,24.5851,2.3170,74.7686,3.3680
2021-07-15 18:00:00,55.8675,2.6360,78.8379,3.4680,67.2368,4.3860,18.2960,2.2120,60.3651,3.0240
2021-07-16 00:00:00,46.0925,2.4700,70.0924,3.3940,44.7795,3.6920,14.6758,2.1360,38.5385,2.3130
2021-07-16 06:00:00,26.9366,2.0150,47.8624,3.0920,26.0392,2.9070,12.2063,2.0710,26.3794,1.7950
2021-07-16 12:00:00,16.4516,1.4700,31.2376,2.5420,18.0982,2.4510,9.5328,1.9750,21.1037,1.5340
2021-07-16 18:00:00,12.8204,1.1180,23.9699,2.1120,14.3351,2.1650,6.5453,1.7910,17.4034,1.3330
2021-07-17 00:00:00,10.4339,0.8810,19.7696,1.8130,11.4343,1.9140,4.9031,1.5950,13.6454,1.0930
2021-07-17 06:00:00,8.3126,0.6770,15.8852,1.5130,8.7774,1.6320,3.4059,1.3680,10.5831,0.8520
2021-07-17 12:00:00,6.5119,0.5210,12.1473,1.2220,6.9074,1.3840,2.4970,1.1960,8.4378,0.6510
2021-07-17 18:00:00,5.1618,0.4280,9.4673,0.9910,5.6220,1.1870,1.9280,1.0760,6.6896,0.4600
