Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.1764,0.5760,13.7840,1.3830,6.1417,1.3070,0.1658,0.4280,10.6532,0.7980
2021-07-14 06:00:00,4.6596,0.3940,8.4723,0.9120,7.2876,1.4060,0.0061,0.2440,7.6675,0.6070
2021-07-14 12:00:00,5.9401,0.4780,10.8302,1.0900,5.5543,1.1980,0.0000,0.2350,3.3035,0.0800
2021-07-14 18:00:00,3.9958,0.3520,7.7243,0.8470,3.3986,0.8150,0.0193,0.2410,2.3382,0.0010
2021-07-15 00:00:00,3.1239,0.2950,5.9030,0.6760,3.2042,0.7810,0.3589,0.4740,2.8038,0.0010
2021-07-15 06:00:00,3.9059,0.3460,7.3473,0.7970,2.7150,0.6860,0.5389,0.6700,3.2508,0.0360
2021-07-15 12:00:00,3.6630,0.3310,6.7692,0.7450,3.4513,0.8280,1.1194,0.8100,4.7373,0.2090
2021-07-15 18:00:00,3.9509,0.3500,7.5595,0.8210,3.4990,0.8240,1.8071,1.0630,4.4324,0.2040
2021-07-16 00:00:00,3.5383,0.3230,6.2330,0.7040,4.6457,1.0320,1.8599,1.0610,4.6977,0.2190
2021-07-16 06:00:00,3.7895,0.3390,6.9551,0.7690,4.0596,0.9210,1.4915,0.9780,4.6348,0.2200
2021-07-16 12:00:00,3.5731,0.3250,6.3770,0.7140,4.0496,0.9210,1.0101,0.8120,4.5263,0.2060
2021-07-16 18:00:00,4.2304,0.3670,7.5666,0.8070,4.6457,1.0290,1.0705,0.8330,4.9223,0.2480
2021-07-17 00:00:00,4.6613,0.3950,8.6302,0.9090,4.7791,1.0520,1.5319,0.9820,4.0485,0.1580
2021-07-17 06:00:00,3.8527,0.3440,7.0861,0.7820,3.9039,0.9000,1.4760,0.9560,3.6610,0.0860
2021-07-17 12:00:00,2.8909,0.2800,5.3378,0.6320,3.1120,0.7470,0.9371,0.7740,3.4981,0.0620
2021-07-17 18:00:00,2.3950,0.2460,4.2558,0.5360,2.8859,0.7020,0.5224,0.5730,3.0678,0.0010
