Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.0967,0.5700,13.6671,1.3750,6.0132,1.2880,0.1620,0.4270,10.4660,0.7790
2021-07-14 06:00:00,4.1122,0.3590,7.6552,0.8460,6.4804,1.2870,0.0000,0.2400,7.1917,0.5520
2021-07-14 12:00:00,6.8428,0.5350,11.6203,1.1250,6.7670,1.3930,0.0241,0.2510,4.0178,0.1820
2021-07-14 18:00:00,25.4145,1.9210,40.2294,2.8460,20.6679,2.6080,6.0907,1.7620,22.6039,1.5670
2021-07-15 00:00:00,64.6447,2.7960,91.2305,3.5710,79.8735,4.8280,24.5199,2.3160,49.3019,2.6080
2021-07-15 06:00:00,61.0337,2.7470,91.2003,3.5710,66.9440,4.4040,51.3361,2.6470,64.3453,3.0850
2021-07-15 12:00:00,53.4628,2.5920,75.5027,3.4400,77.9889,4.6260,25.7103,2.3330,85.1911,3.6280
2021-07-15 18:00:00,59.6797,2.7100,85.3497,3.5230,74.1291,4.5830,18.2273,2.2110,65.6619,3.1700
2021-07-16 00:00:00,49.1680,2.5270,73.9090,3.4280,47.6252,3.7950,14.2943,2.1270,39.6818,2.3660
2021-07-16 06:00:00,27.8899,2.0490,49.6851,3.1270,26.0290,2.9110,11.7186,2.0560,25.6988,1.7660
2021-07-16 12:00:00,16.0925,1.4470,30.8409,2.5270,17.4689,2.4110,8.7269,1.9370,20.3701,1.4970
2021-07-16 18:00:00,12.3499,1.0710,23.1357,2.0610,13.7079,2.1140,6.0125,1.7380,16.5282,1.2840
2021-07-17 00:00:00,9.9248,0.8300,18.9454,1.7460,10.7477,1.8490,4.3843,1.5220,12.7186,1.0260
2021-07-17 06:00:00,7.8527,0.6330,14.8921,1.4390,8.2083,1.5630,3.0116,1.2980,9.9442,0.7950
2021-07-17 12:00:00,6.1728,0.4960,11.4491,1.1630,6.5796,1.3370,2.2814,1.1520,7.9039,0.5950
2021-07-17 18:00:00,4.9473,0.4140,9.0700,0.9550,5.3393,1.1440,1.8194,1.0490,6.2909,0.4180
