Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.0967,0.5690,13.6576,1.3740,5.9981,1.2870,0.1620,0.4260,10.4421,0.7770
2021-07-14 06:00:00,4.1571,0.3620,7.7140,0.8510,6.5426,1.2980,0.0000,0.2400,7.1823,0.5520
2021-07-14 12:00:00,8.3696,0.6610,15.3408,1.3700,8.5347,1.6920,0.0241,0.2570,4.7831,0.2470
2021-07-14 18:00:00,45.4551,2.4550,64.5812,3.3330,58.2327,4.1260,9.3779,1.9680,31.9192,1.9870
2021-07-15 00:00:00,68.3955,2.8820,102.7309,3.6610,85.6936,4.9700,26.9877,2.3520,57.2031,2.8530
2021-07-15 06:00:00,62.4377,2.7710,92.9779,3.5850,75.3518,4.6250,48.7400,2.6190,74.3339,3.3380
2021-07-15 12:00:00,56.5819,2.6470,79.6787,3.4750,81.1355,4.7220,23.9265,2.3070,83.9937,3.6070
2021-07-15 18:00:00,57.7762,2.6770,83.2807,3.5060,68.1900,4.4190,16.1435,2.1690,60.3593,3.0330
2021-07-16 00:00:00,43.9379,2.4330,68.6115,3.3810,40.6656,3.5460,12.3858,2.0760,33.5428,2.1270
2021-07-16 06:00:00,22.4957,1.8610,42.3893,2.9750,20.8662,2.6390,8.9289,1.9470,21.6153,1.5690
2021-07-16 12:00:00,13.0296,1.1610,24.9475,2.2030,14.0575,2.1450,5.7027,1.7010,16.6762,1.2950
2021-07-16 18:00:00,9.8348,0.8230,18.8328,1.7460,10.5667,1.8300,3.6205,1.4060,12.4214,1.0060
2021-07-17 00:00:00,7.5868,0.6100,14.3849,1.4030,7.8244,1.5140,2.3054,1.1610,9.3185,0.7410
2021-07-17 06:00:00,5.7438,0.4670,10.6640,1.0990,6.0528,1.2590,1.6420,1.0050,7.0082,0.4980
2021-07-17 12:00:00,4.4184,0.3800,8.1141,0.8740,4.7061,1.0380,1.2193,0.8660,5.0204,0.2820
2021-07-17 18:00:00,3.3934,0.3140,6.1710,0.7050,3.6524,0.8530,0.9254,0.7420,3.5704,0.0890
