Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.0967,0.5690,13.6576,1.3740,5.9981,1.2870,0.1620,0.4260,10.4421,0.7770
2021-07-14 06:00:00,4.0939,0.3580,7.6389,0.8440,6.4502,1.2830,0.0000,0.2400,7.1603,0.5480
2021-07-14 12:00:00,6.7000,0.5260,11.4112,1.1090,6.4240,1.3500,0.0061,0.2450,3.6181,0.1350
2021-07-14 18:00:00,44.2080,2.4350,62.3904,3.3040,53.4777,3.9300,8.6711,1.9350,30.5764,1.9240
2021-07-15 00:00:00,69.1341,2.8960,104.0874,3.6710,82.8257,4.9340,27.5743,2.3600,54.3934,2.7820
2021-07-15 06:00:00,61.3218,2.7500,91.2003,3.5710,73.7806,4.5750,45.7625,2.5860,72.3911,3.2980
2021-07-15 12:00:00,55.0415,2.6220,78.0797,3.4620,76.2153,4.5930,23.6168,2.3020,80.8782,3.5260
2021-07-15 18:00:00,56.1490,2.6430,80.4338,3.4820,65.3359,4.3350,15.6449,2.1590,58.2159,2.9740
2021-07-16 00:00:00,41.9097,2.3930,66.2735,3.3570,38.7636,3.4700,11.8579,2.0610,32.0252,2.0630
2021-07-16 06:00:00,21.1215,1.8040,40.4911,2.9260,19.8193,2.5770,8.1421,1.9050,20.7944,1.5270
2021-07-16 12:00:00,12.4876,1.1060,23.8455,2.1370,13.4347,2.0940,5.3501,1.6540,15.8995,1.2490
2021-07-16 18:00:00,9.4037,0.7820,18.1370,1.6870,10.0082,1.7730,3.3341,1.3580,11.7485,0.9530
2021-07-17 00:00:00,7.2049,0.5770,13.6162,1.3440,7.4346,1.4610,2.1892,1.1350,8.8686,0.6970
2021-07-17 06:00:00,5.4661,0.4480,10.1262,1.0510,5.7958,1.2180,1.5860,0.9880,6.6581,0.4610
2021-07-17 12:00:00,4.2204,0.3680,7.7316,0.8400,4.5115,1.0050,1.1852,0.8520,4.7516,0.2490
2021-07-17 18:00:00,3.2503,0.3050,5.9003,0.6810,3.5141,0.8260,0.9008,0.7320,3.4251,0.0650
