Time,Walferdange_Q,Walferdange_Depth_cell,Steinsel_Q,Steinsel_Depth_cell,Pfaffenthal_Q,Pfaffenthal_Depth_cell,Livange_Q,Livange_Depth_cell,Hesperange_Q,Hesperange_Depth_cell
2021-07-13 18:00:00,0.3178,1.2350,-0.4601,2.6330,0.4506,2.2990,-0.1817,1.9240,0.1269,1.0720
2021-07-14 00:00:00,7.0967,0.5690,13.6576,1.3740,5.9981,1.2870,0.1620,0.4260,10.4421,0.7770
2021-07-14 06:00:00,4.1571,0.3610,7.7063,0.8500,6.6191,1.3090,0.0000,0.2400,7.1647,0.5490
2021-07-14 12:00:00,8.6088,0.6820,15.8087,1.4040,8.8215,1.7200,0.0241,0.2580,5.0075,0.2790
2021-07-14 18:00:00,46.5209,2.4750,66.4198,3.3540,58.0577,4.1000,8.7972,1.9410,32.8451,2.0280
2021-07-15 00:00:00,68.2737,2.8800,102.5408,3.6590,84.3391,4.9730,26.7549,2.3490,54.7394,2.8030
2021-07-15 06:00:00,61.9548,2.7630,92.5083,3.5810,72.9369,4.5610,47.6473,2.6070,71.6053,3.2720
2021-07-15 12:00:00,55.0598,2.6210,77.8141,3.4600,77.9550,4.6360,23.8585,2.3060,82.3723,3.5640
2021-07-15 18:00:00,57.0600,2.6630,81.8914,3.4940,67.0650,4.3860,15.8176,2.1620,59.5022,3.0090
2021-07-16 00:00:00,43.3451,2.4210,67.8316,3.3720,39.9970,3.5210,11.9678,2.0640,32.7417,2.0950
2021-07-16 06:00:00,21.9367,1.8390,41.6849,2.9580,20.3038,2.6060,8.3141,1.9150,20.9909,1.5380
2021-07-16 12:00:00,12.7020,1.1280,24.2792,2.1650,13.6173,2.1090,5.4525,1.6680,16.0489,1.2590
2021-07-16 18:00:00,9.5203,0.7930,18.3249,1.7040,10.1390,1.7870,3.4447,1.3770,11.9103,0.9650
2021-07-17 00:00:00,7.3028,0.5860,13.8124,1.3590,7.5354,1.4750,2.2574,1.1490,9.0023,0.7110
2021-07-17 06:00:00,5.5476,0.4530,10.2748,1.0640,5.8739,1.2310,1.6150,0.9990,6.7924,0.4750
2021-07-17 12:00:00,4.2836,0.3720,7.8591,0.8510,4.5829,1.0180,1.2093,0.8620,4.8803,0.2650
2021-07-17 18:00:00,3.3137,0.3090,6.0078,0.6910,3.5745,0.8380,0.9154,0.7400,3.5118,0.0790
