idx,Observed,WRF_1p3km,WRF_12km,WRF_12km_BeforeDA,GraphCast,FuXi,AIFS,EFAS_ECMWF,EFAS_DWD
0,10.3700,0.1269,0.1269,0.1269,0.1269,0.1269,0.1269,18.8428,29.0669
1,11.3000,10.4421,10.4421,10.4421,10.4660,10.6532,10.4660,19.1528,43.1641
2,9.8160,7.1647,7.1823,7.1603,7.1917,7.6675,7.5780,3.8779,9.9438
3,7.4060,5.0075,4.7831,3.6181,4.0178,3.3035,4.7854,3.8647,8.5200
4,35.3800,32.8451,31.9192,30.5764,22.6039,2.3382,30.2124,36.5498,31.1289
5,63.5000,54.7394,57.2031,54.3934,49.3019,2.8038,47.9480,132.3311,98.7793
6,75.9800,71.6053,74.3339,72.3911,64.3453,3.2508,60.7647,123.8945,90.3491
7,122.6000,82.3723,83.9937,80.8782,85.1911,4.7373,74.7686,83.2402,64.7998
8,108.2000,59.5022,60.3593,58.2159,65.6619,4.4324,60.3651,59.5771,43.9082
9,70.5500,32.7417,33.5428,32.0252,39.6818,4.6977,38.5385,44.6465,30.2012
10,49.4900,20.9909,21.6153,20.7944,25.6988,4.6348,26.3794,34.4619,23.6494
11,39.1800,16.0489,16.6762,15.8995,20.3701,4.5263,21.1037,27.0693,18.9033
12,31.0200,11.9103,12.4214,11.7485,16.5282,4.9223,17.4034,21.8711,15.3242
13,20.8800,9.0023,9.3185,8.8686,12.7186,4.0485,13.6454,17.9307,12.8623
14,13.3800,6.7924,7.0082,6.6581,9.9442,3.6610,10.5831,18.6523,18.6162
15,10.4300,4.8803,5.0204,4.7516,7.9039,3.4981,8.4378,15.9932,15.9590
16,8.6300,3.5118,3.5704,3.4251,6.2909,3.0678,6.6896,14.0410,14.0078
