idx,Observed,WRF_1p3km,WRF_12km,WRF_12km_BeforeDA,GraphCast,FuXi,AIFS,EFAS_ECMWF,EFAS_DWD
0,8.7560,-0.1817,-0.1817,-0.1817,-0.1817,-0.1817,-0.1817,17.0161,30.9707
1,10.3400,0.1620,0.1620,0.1620,0.1620,0.1658,0.1620,15.8701,36.9756
2,7.4660,0.0000,0.0000,0.0000,0.0000,0.0061,0.0100,3.1211,7.3530
3,5.2270,0.0241,0.0241,0.0061,0.0241,0.0000,0.1241,3.7700,6.8643
4,23.3800,8.7972,9.3779,8.6711,6.0907,0.0193,8.2931,41.5425,34.5137
5,42.1600,26.7549,26.9877,27.5743,24.5199,0.3589,24.5192,122.3398,102.3745
6,98.7500,47.6473,48.7400,45.7625,51.3361,0.5389,39.0098,95.3145,77.8584
7,72.7000,23.8585,23.9265,23.6168,25.7103,1.1194,24.5851,61.2637,51.0566
8,47.9700,15.8176,16.1435,15.6449,18.2273,1.8071,18.2960,44.7686,34.2549
9,32.3800,11.9678,12.3858,11.8579,14.2943,1.8599,14.6758,33.2305,24.3213
10,26.9600,8.3141,8.9289,8.1421,11.7186,1.4915,12.2063,25.2969,19.2246
11,19.8800,5.4525,5.7027,5.3501,8.7269,1.0101,9.5328,20.1543,15.3184
12,11.7800,3.4447,3.6205,3.3341,6.0125,1.0705,6.5453,16.3799,12.5752
13,8.6220,2.2574,2.3054,2.1892,4.3843,1.5319,4.9031,13.6250,10.6436
14,7.0120,1.6150,1.6420,1.5860,3.0116,1.4760,3.4059,15.0781,15.0557
15,5.9240,1.2093,1.2193,1.1852,2.2814,0.9371,2.4970,13.0488,13.0273
16,5.1880,0.9154,0.9254,0.9008,1.8194,0.5224,1.9280,11.5088,11.4863
