station,model,nse,kge,pde,timing,rmse,mae,smape,bias
Steinsel,wrf,0.7207,0.6474,-22.4937,-5.0000,22.9890,17.9845,54.7583,-17.7540
Steinsel,wrf12,0.7346,0.6548,-22.3500,-5.0000,22.4106,17.5968,53.3033,-17.4214
Steinsel,wrf12before,0.7050,0.6254,-21.3247,-5.0000,23.6291,18.5423,56.3714,-18.5423
Steinsel,graphcast,0.7345,0.6741,-31.0427,-5.0000,22.4140,17.7563,46.3964,-17.7563
Steinsel,fuxi,-1.2670,-0.4424,-89.5813,-29.0000,65.5001,48.7887,130.1502,-48.7887
Steinsel,aifs,0.7036,0.6797,-30.6144,-5.0000,23.6861,17.8158,43.6988,-17.8158
Steinsel,efasecmwf,0.5322,0.7559,49.5041,1.0000,29.7555,20.5713,40.6254,7.9970
Steinsel,efasdwd,0.6286,0.8013,12.7439,-5.0000,26.5103,20.1608,41.6802,-1.2061
Pfaffenthal,wrf,0.5716,0.4818,-39.6716,-2.7500,27.5260,22.8325,79.7863,-22.8325
Pfaffenthal,wrf12,0.5977,0.4904,-38.7027,-2.7500,26.6754,22.2058,78.4109,-22.2058
Pfaffenthal,wrf12before,0.5486,0.4620,-40.7541,-2.7500,28.2556,23.6341,83.1113,-23.6341
Pfaffenthal,graphcast,0.5507,0.4867,-42.8659,-2.7500,28.1885,23.5882,75.6881,-23.5882
Pfaffenthal,fuxi,-1.2972,-0.6512,-94.7871,-20.7500,63.7416,47.5433,148.8685,-47.5433
Pfaffenthal,aifs,0.5041,0.5221,-48.9132,-2.7500,29.6151,23.8868,72.3853,-23.8868
Pfaffenthal,efasecmwf,0.5952,0.7615,37.4669,-2.7500,26.7581,16.4152,36.0893,9.3996
Pfaffenthal,efasdwd,0.7042,0.8394,9.4550,-2.7500,22.8718,18.6977,43.5350,0.7373
Livange,wrf,0.3021,0.2790,-51.8422,1.0000,21.5558,16.2611,125.5662,-16.2611
Livange,wrf12,0.3209,0.2910,-50.7378,1.0000,21.2642,16.0344,123.9361,-16.0344
Livange,wrf12before,0.2820,0.2791,-53.7472,1.0000,21.8641,16.3937,126.4797,-16.3937
Livange,graphcast,0.3822,0.3650,-48.1139,1.0000,20.2815,15.0798,108.2237,-15.0798
Livange,fuxi,-0.9118,-0.2857,-98.1202,19.0000,35.6767,24.7507,179.4357,-24.7507
Livange,aifs,0.2682,0.3883,-60.5723,1.0000,22.0737,15.5284,104.8657,-15.5284
Livange,efasecmwf,0.3606,0.6554,23.6505,-5.0000,20.6324,9.9947,41.9731,6.9902
Livange,efasdwd,0.4387,0.6509,3.4713,-5.0000,19.3323,13.1069,47.3871,4.0811
Hesperange,wrf,0.6393,0.5887,-33.5707,-2.0000,21.1352,15.2016,60.4067,-15.2016
Hesperange,wrf12,0.6589,0.5995,-32.2631,-2.0000,20.5526,14.6232,58.9342,-14.6232
Hesperange,wrf12before,0.6221,0.5733,-34.7756,-2.0000,21.6317,15.6552,63.4955,-15.6552
Hesperange,graphcast,0.7147,0.6424,-31.2975,-2.0000,18.7962,14.1217,49.6554,-14.1217
Hesperange,fuxi,-1.0683,-0.4323,-91.4087,-38.0000,50.6073,36.2201,135.4009,-36.2201
Hesperange,aifs,0.6517,0.6375,-39.7027,-2.0000,20.7683,14.6068,46.4835,-14.6068
Hesperange,efasecmwf,0.4132,0.7135,6.7186,-14.0000,26.9569,18.4171,45.1022,-0.7127
Hesperange,efasdwd,0.3628,0.5930,-20.3393,-14.0000,28.0903,20.8304,53.2268,-6.9958
