idx,Observed,WRF_1p3km,WRF_12km,WRF_12km_BeforeDA,GraphCast,FuXi,AIFS,EFAS_ECMWF,EFAS_DWD
0,13.6200,0.4506,0.4506,0.4506,0.4506,0.4506,0.4506,27.7485,42.0801
1,14.8200,5.9981,5.9981,5.9981,6.0132,6.1417,6.0132,28.1895,59.4561
2,14.1500,6.6191,6.5426,6.4502,6.4804,7.2876,6.9785,5.7837,17.5938
3,11.7400,8.8215,8.5347,6.4240,6.7670,5.5543,6.9438,6.0967,15.1821
4,65.2100,58.0577,58.2327,53.4777,20.6679,3.3986,44.1364,54.7354,52.1196
5,134.5000,84.3391,85.6936,82.8257,79.8735,3.2042,71.4193,192.1787,153.0181
6,102.6000,72.9369,75.3518,73.7806,66.9440,2.7150,63.1166,186.5186,138.1270
7,117.6000,77.9550,81.1355,76.2153,77.9889,3.4513,67.6554,129.6299,103.3691
8,118.2000,67.0650,68.1900,65.3359,74.1291,3.4990,67.2368,93.1367,71.2607
9,79.3300,39.9970,40.6656,38.7636,47.6252,4.6457,44.7795,69.8857,49.1719
10,54.2100,20.3038,20.8662,19.8193,26.0290,4.0596,26.0392,57.8662,37.2529
11,43.7800,13.6173,14.0575,13.4347,17.4689,4.0496,18.0982,44.0000,29.9873
12,36.1500,10.1390,10.5667,10.0082,13.7079,4.6457,14.3351,35.5098,24.2568
13,25.8200,7.5354,7.8244,7.4346,10.7477,4.7791,11.4343,28.9541,20.2188
14,18.1100,5.8739,6.0528,5.7958,8.2083,3.9039,8.7774,29.0898,29.0479
15,14.2600,4.5829,4.7061,4.5115,6.5796,3.1120,6.9074,24.8057,24.7656
16,11.9200,3.5745,3.6524,3.5141,5.3393,2.8859,5.6220,21.6846,21.6465
