idx,Observed,WRF_1p3km,WRF_12km,WRF_12km_BeforeDA,GraphCast,FuXi,AIFS,EFAS_ECMWF,EFAS_DWD
0,16.0600,-0.4601,-0.4601,-0.4601,-0.4601,-0.4601,-0.4601,27.8740,39.8594
1,18.1200,13.6576,13.6576,13.6576,13.6671,13.7840,13.6771,29.3887,60.5884
2,18.5800,7.7063,7.7140,7.6389,7.6552,8.4723,7.9789,6.1304,19.4111
3,13.8500,15.8087,15.3408,11.4112,11.6203,10.8302,13.6793,6.3047,16.3877
4,70.5600,66.4198,64.5812,62.3904,40.2294,7.7243,53.3007,48.5015,49.7593
5,105.1000,102.5408,102.7309,104.0874,91.2305,5.9030,91.7972,185.4854,149.1602
6,131.5000,92.5083,92.9779,91.2003,91.2003,7.3473,84.4197,197.7939,143.7598
7,112.8000,77.8141,79.6787,78.0797,75.5027,6.7692,73.2493,142.1133,113.2979
8,124.4000,81.8914,83.2807,80.4338,85.3497,7.5595,78.8379,101.4736,78.9404
9,113.7000,67.8316,68.6115,66.2735,73.9090,6.2330,70.0924,76.4873,54.6641
10,68.6600,41.6849,42.3893,40.4911,49.6851,6.9551,47.8624,63.9707,40.6396
11,46.1300,24.2792,24.9475,23.8455,30.8409,6.3770,31.2376,48.0469,32.8164
12,37.0300,18.3249,18.8328,18.1370,23.1357,7.5666,23.9699,38.9150,26.5400
13,26.5300,13.8124,14.3849,13.6162,18.9454,8.6302,19.7696,31.7012,22.0312
14,19.2400,10.2748,10.6640,10.1262,14.8921,7.0861,15.8852,31.4707,31.4287
15,15.0300,7.8591,8.1141,7.7316,11.4491,5.3378,12.1473,26.7510,26.7109
16,12.4900,6.0078,6.1710,5.9003,9.0700,4.2558,9.4673,23.3203,23.2812
