idx,Observed_m,WRF_1p3km_m,WRF_12km_m,WRF_12km_BeforeDA_m,GraphCast_m,FuXi_m,AIFS_m
0,0.9240,1.2350,1.2350,1.2350,1.2350,1.2350,1.2350
1,0.9570,0.5690,0.5690,0.5690,0.5700,0.5760,0.5700
2,0.9860,0.3610,0.3620,0.3580,0.3590,0.3940,0.3740
3,0.8300,0.6820,0.6610,0.5260,0.5350,0.4780,0.5830
4,2.3460,2.4750,2.4550,2.4350,1.9210,0.3520,2.2750
5,3.4240,2.8800,2.8820,2.8960,2.7960,0.2950,2.7820
6,3.5120,2.7630,2.7710,2.7500,2.7470,0.3460,2.6740
7,3.3330,2.6210,2.6470,2.6220,2.5920,0.3310,2.5540
8,3.4680,2.6630,2.6770,2.6430,2.7100,0.3500,2.6360
9,3.2660,2.4210,2.4330,2.3930,2.5270,0.3230,2.4700
10,2.5290,1.8390,1.8610,1.8040,2.0490,0.3390,2.0150
11,1.8190,1.1280,1.1610,1.1060,1.4470,0.3250,1.4700
12,1.5400,0.7930,0.8230,0.7820,1.0710,0.3670,1.1180
13,1.2090,0.5860,0.6100,0.5770,0.8300,0.3950,0.8810
14,0.9920,0.4530,0.4670,0.4480,0.6330,0.3440,0.6770
15,0.8770,0.3720,0.3800,0.3680,0.4960,0.2800,0.5210
16,0.7970,0.3090,0.3140,0.3050,0.4140,0.2460,0.4280
